index,destination,coverage,type,destination_code,origin,origin_code,gender,year,migrants,M49,migrants_millions,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code,alpha-3_dest,gdp_per_capita_dest,total_population_dest
22647,Saint Lucia,,B R,662,Anguilla,660,female,2010,3,660,3e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LCA,8673.687203405294,170906.0
22764,Sint Maarten (Dutch part),28,B R,534,Anguilla,660,female,2010,167,660,0.000167,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,SXM,26403.81436921632,33794.0
22158,Dominican Republic,,B R,214,Anguilla,660,male,2010,20,660,0.000019999999999999998,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DOM,5478.624703989543,9820175.0
21405,Antigua and Barbuda,,B R,28,Anguilla,660,female,2010,19,660,0.000018999999999999998,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ATG,15217.39507909222,85320.0
22764,Sint Maarten (Dutch part),28,B R,534,Anguilla,660,male,2010,200,660,0.00019999999999999998,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,SXM,26403.81436921632,33794.0
21952,Curaçao,23,B R,531,Anguilla,660,male,2010,10,660,9.999999999999999e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,CUW,19847.23101279792,148703.0
21952,Curaçao,23,B R,531,Anguilla,660,female,2010,30,660,0.000029999999999999997,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,CUW,19847.23101279792,148703.0
17226,Latvia,,B,428,Anguilla,660,female,2010,,660,,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LVA,11188.4191700977,2097555.0
21405,Antigua and Barbuda,,B R,28,Anguilla,660,male,2010,18,660,0.000018,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ATG,15217.39507909222,85320.0
22029,Dominica,,B,212,Anguilla,660,female,2010,4,660,4e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DMA,7549.619646803747,68859.0
17226,Latvia,,B,428,Anguilla,660,male,2010,,660,,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LVA,11188.4191700977,2097555.0
14676,Bulgaria,,B,100,Anguilla,660,female,2010,13,660,0.000013,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,BGR,6853.948055111706,7395599.0
17226,Latvia,,B,428,Anguilla,660,male,2015,,660,,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LVA,13321.975314061565,1977527.0
25049,Ecuador,,B R,218,Anguilla,660,female,2015,20,660,0.000019999999999999998,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ECU,5976.159680565097,16266225.0
18594,Greece,,B,300,Anguilla,660,female,2015,5,660,4.9999999999999996e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,GRC,17980.72982381374,10820883.0
22889,United States Virgin Islands,30,B,850,Anguilla,660,female,2015,469,660,0.00046899999999999996,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,VIR,34007.35294117647,107712.0
22029,Dominica,,B,212,Anguilla,660,female,2015,5,660,4.9999999999999996e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DMA,8282.598747021415,70410.0
14676,Bulgaria,,B,100,Anguilla,660,female,2015,10,660,9.999999999999999e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,BGR,7268.654454738727,6984225.0
22647,Saint Lucia,,B R,662,Anguilla,660,female,2015,2,660,2e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LCA,10334.986082391815,174905.0
22764,Sint Maarten (Dutch part),28,B R,534,Anguilla,660,male,2015,209,660,0.00020899999999999998,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,SXM,37839.62838151634,37471.0
